# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct 28 09:15:11 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Argument of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN pl_trueobliqerr1: True Obliquity Upper Unc. [deg]
# COLUMN pl_trueobliqerr2: True Obliquity Lower Unc. [deg]
# COLUMN pl_trueobliqlim: True Obliquity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,12.100,,,0,6165.60000,476.70000,-476.70000,0,19.100000,,,0,0.231000,0.005000,-0.005000,0,,,,,,,,,,,,,94.8000,1.5000,-1.5000,0,,,,,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,2.243,0.071,-0.085,0,2.31,0.10,-0.10,0,,,,,,,,,,,,,185.1787793,17.7932516,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,13.800000,,,0,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,117.6300,21.0600,-21.0600,0,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,2.430,0.008,-0.008,0,1.93,0.07,-0.07,0,1.560,0.540,-0.540,0,,,,,,,,,229.2745954,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,12.900,,,0,1525.50000,,,0,3.900000,,,0,0.000000,,,0,,,,,,,,,,,,,0.0000,,,0,,,,,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,1.763,,,0,2.63,0.07,-0.07,0,4.500,1.900,-1.900,0,,,,,,,,,352.8241500,39.2358367,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1765.03890112,1.67708897,-1.87256063,0,2.773069,0.110517,-0.118828,0,12.600,,,0,2586.74645,492.67126,-308.97002,0,7.110000,,,0,0.372689,0.008388,-0.006030,0,,,,,,,,,144.652,6.279,-3.241,0,23.0425,1.1828,-1.1049,0,,,,,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,0.405,0.047,-0.047,0,-0.153,0.012,-0.010,0,4.45,0.02,-0.02,0,3.900,,,0,1.27393,0.34953,-0.30728,0,,,,,242.6021014,43.8163621,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,1.260000,,,0,0.680000,0.020000,-0.020000,0,,,,,,,,,,,,,82.7400,0.6000,-0.6000,0,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,0.097,0.009,-0.013,0,4.36,0.01,-0.01,0,7.400,0.100,-0.100,0,1.01103,0.29273,-0.20081,0,,,,,295.4656422,50.5168243,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,3.510000,,,0,0.060000,0.030000,-0.020000,0,,,,,,,,,,,,,57.0300,113.1800,-106.7700,0,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,2.254,0.026,-0.024,0,1.70,0.04,-0.06,0,5.130,2.120,-1.330,0,,,,,329.49,92.40,-92.40,1,243.4620874,-11.8377905,124.9530000,2.5900000,-2.5900000,5.2260600,0.0230000,-0.0230000,2.0940000,0.2440000,-0.2440000,4.7542900,0.0050550,-0.0050550
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,12.500,,,0,3273.50000,,,0,9.210000,,,0,0.080000,0.010000,-0.010000,0,,,,,,,,,,,,,166.1000,6.5000,-6.5000,0,,,,,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,1.602,,,0,2.82,0.06,-0.06,0,1.100,0.100,-0.100,0,,,,,,,,,314.6078375,10.8391378,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,3.3660000,0.2040000,-0.2040000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,,,,330.000000,,,0,18.647,,,0,3000.00000,300.00000,-300.00000,0,2.540000,,,0,,,,,,,,,1700,100,-100,0,,,,,,,,,,,,,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,,,,,-0.370,0.150,-0.150,0,4.00,0.14,-0.10,0,0.005,,,0,0.38789,0.18019,-0.10697,0,,,,,242.3762343,-21.0831403,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,8.9160000,0.0210000,-0.0210000,12.0572000,0.0022750,-0.0022750
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,13.900,,,0,289.22530,41.31790,-31.78300,0,0.592000,,,0,0.042000,0.048000,-0.029000,0,,,,,,,,,,,,,210.0000,100.0000,-130.0000,0,,,,,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,1.774,0.047,-0.053,0,2.42,0.10,-0.10,0,6.920,4.830,-2.750,0,,,,,,,,,217.1555242,49.8446488,95.9863000,0.6368500,-0.6368500,5.5900000,0.0010000,-0.0010000,3.1590000,0.2800000,-0.2800000,5.3339000,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,1.440000,,,0,0.090000,0.140000,-0.060000,0,,,,,,,,,,,,,9.2000,277.9000,-165.4000,0,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,1.164,0.003,-0.003,0,3.50,0.10,-0.10,0,2.700,0.400,-0.400,0,,,,,,,,,155.8684866,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,13.900,,,0,273.32000,111.24000,-69.92000,0,0.559000,,,0,0.290000,0.160000,-0.090000,0,,,,,,,,,,,,,220.5000,182.2000,-320.9000,0,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,1.164,0.003,-0.003,0,3.50,0.10,-0.10,0,2.700,0.400,-0.400,0,,,,,,,,,155.8684866,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
